#Data Set Export - Rainfall.Continuous@A64971,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1958-03-30 08:00:00,0,200,5,
1958-03-31 08:00:00,0.51,200,5,
1958-04-04 08:00:00,0,200,5,
1958-04-05 08:00:00,1.52,200,5,
1958-04-06 08:00:00,1.27,200,5,
1958-04-10 08:00:00,0,200,5,
1958-04-11 08:00:00,0.76,200,5,
1958-04-13 08:00:00,0,200,5,
1958-04-14 08:00:00,0.51,200,5,
1958-04-18 08:00:00,0,200,5,
1958-04-19 08:00:00,5.33,200,5,
1958-04-21 08:00:00,0,200,5,
1958-04-22 08:00:00,1.52,200,5,
1958-04-24 08:00:00,0,200,5,
1958-04-25 08:00:00,1.27,200,5,
1958-04-26 08:00:00,21.34,200,5,
1958-04-27 08:00:00,3.05,200,5,
1958-04-28 08:00:00,1.52,200,5,
1958-04-29 08:00:00,3.05,200,5,
1958-04-30 08:00:00,0.25,200,5,
1958-05-06 08:00:00,0,200,5,
1958-05-07 08:00:00,3.56,200,5,
1958-05-09 08:00:00,0,200,5,
1958-05-10 08:00:00,17.02,200,5,
1958-05-11 08:00:00,70.11,200,5,
1958-05-12 08:00:00,6.1,200,5,
1958-05-13 08:00:00,9.14,200,5,
1958-05-14 08:00:00,4.06,200,5,
1958-05-17 08:00:00,0,200,5,
1958-05-18 08:00:00,6.6,200,5,
1958-05-19 08:00:00,0,200,5,
1958-05-20 08:00:00,1.27,200,5,
1958-05-21 08:00:00,0,200,5,
1958-05-22 08:00:00,2.79,200,5,
1958-05-24 08:00:00,0,200,5,
1958-05-25 08:00:00,14.48,200,5,
1958-05-26 08:00:00,3.05,200,5,
1958-05-27 08:00:00,11.68,200,5,
1958-05-28 08:00:00,15.49,200,5,
1958-05-29 08:00:00,4.32,200,5,
1958-05-30 08:00:00,0.25,200,5,
1958-05-31 08:00:00,4.83,200,5,
1958-06-01 08:00:00,1.02,200,5,
1958-06-02 08:00:00,0,200,5,
1958-06-03 08:00:00,0.25,200,5,
1958-06-04 08:00:00,0.51,200,5,
1958-06-06 08:00:00,0,200,5,
1958-06-07 08:00:00,7.87,200,5,
1958-06-08 08:00:00,1.02,200,5,
1958-06-09 08:00:00,2.29,200,5,
1958-06-10 08:00:00,0.25,200,5,
1958-06-17 08:00:00,0,200,5,
1958-06-18 08:00:00,0.25,200,5,
1958-06-19 08:00:00,1.02,200,5,
1958-06-20 08:00:00,0.25,200,5,
1958-06-22 08:00:00,0,200,5,
1958-06-23 08:00:00,1.78,200,5,
1958-06-24 08:00:00,2.29,200,5,
1958-06-25 08:00:00,10.41,200,5,
1958-06-26 08:00:00,5.33,200,5,
1958-06-27 08:00:00,3.56,200,5,
1958-06-28 08:00:00,0.76,200,5,
1958-06-30 08:00:00,0,200,5,
1958-07-01 08:00:00,0.51,200,5,
1958-07-02 08:00:00,0,200,5,
1958-07-03 08:00:00,23.88,200,5,
1958-07-04 08:00:00,6.1,200,5,
1958-07-05 08:00:00,20.83,200,5,
1958-07-06 08:00:00,1.02,200,5,
1958-07-07 08:00:00,0,200,5,
1958-07-08 08:00:00,0.25,200,5,
1958-07-09 08:00:00,1.02,200,5,
1958-07-10 08:00:00,2.54,200,5,
1958-07-11 08:00:00,13.97,200,5,
1958-07-12 08:00:00,5.84,200,5,
1958-07-17 08:00:00,0,200,5,
1958-07-18 08:00:00,6.6,200,5,
1958-07-19 08:00:00,23.37,200,5,
1958-07-20 08:00:00,4.06,200,5,
1958-07-21 08:00:00,15.75,200,5,
1958-07-22 08:00:00,12.7,200,5,
1958-07-23 08:00:00,2.03,200,5,
1958-07-24 08:00:00,2.54,200,5,
1958-07-25 08:00:00,4.06,200,5,
1958-07-28 08:00:00,0,200,5,
1958-07-29 08:00:00,1.78,200,5,
1958-07-30 08:00:00,17.53,200,5,
1958-07-31 08:00:00,19.3,200,5,
1958-08-01 08:00:00,2.29,200,5,
1958-08-08 08:00:00,0,200,5,
1958-08-15 08:00:00,0,200,5,
1958-08-22 08:00:00,0,200,5,
1958-08-29 08:00:00,0,200,5,
1958-09-01 08:00:00,0,200,5,
1958-09-02 08:00:00,2.79,200,5,
1958-09-03 08:00:00,4.57,200,5,
1958-09-04 08:00:00,20.57,200,5,
1958-09-07 08:00:00,0,200,5,
1958-09-08 08:00:00,1.27,200,5,
1958-09-09 08:00:00,0.25,200,5,
1958-09-10 08:00:00,33.27,200,5,
1958-09-11 08:00:00,0.25,200,5,
1958-09-13 08:00:00,0,200,5,
1958-09-14 08:00:00,13.72,200,5,
1958-09-19 08:00:00,0,200,5,
1958-09-20 08:00:00,2.29,200,5,
1958-09-21 08:00:00,19.81,200,5,
1958-09-22 08:00:00,0.25,200,5,
1958-09-23 08:00:00,1.27,200,5,
1958-09-24 08:00:00,1.27,200,5,
1958-09-30 08:00:00,0,200,5,
1958-10-01 08:00:00,1.27,200,5,
1958-10-02 08:00:00,4.32,200,5,
1958-10-03 08:00:00,0.25,200,5,
1958-10-06 08:00:00,0,200,5,
1958-10-07 08:00:00,0.25,200,5,
1958-10-09 08:00:00,0,200,5,
1958-10-10 08:00:00,22.86,200,5,
1958-10-13 08:00:00,0,200,5,
1958-10-14 08:00:00,1.27,200,5,
1958-10-15 08:00:00,17.27,200,5,
1958-10-16 08:00:00,2.79,200,5,
1958-10-17 08:00:00,18.54,200,5,
1958-10-18 08:00:00,1.02,200,5,
1958-10-19 08:00:00,1.52,200,5,
1958-10-20 08:00:00,3.56,200,5,
1958-10-21 08:00:00,0.76,200,5,
1958-10-22 08:00:00,7.11,200,5,
1958-10-23 08:00:00,1.27,200,5,
1958-10-26 08:00:00,0,200,5,
1958-10-27 08:00:00,24.38,200,5,
1958-10-28 08:00:00,5.59,200,5,
1958-10-29 08:00:00,2.03,200,5,
1958-11-01 08:00:00,0,200,5,
1958-11-02 08:00:00,19.3,200,5,
1958-11-03 08:00:00,0,200,5,
1958-11-04 08:00:00,8.89,200,5,
1958-11-09 08:00:00,0,200,5,
1958-11-10 08:00:00,4.57,200,5,
1958-11-11 08:00:00,27.18,200,5,
1958-11-12 08:00:00,2.54,200,5,
1958-11-13 08:00:00,1.27,200,5,
1958-11-16 08:00:00,0,200,5,
1958-11-17 08:00:00,2.54,200,5,
1958-11-18 08:00:00,4.32,200,5,
1958-11-19 08:00:00,0.51,200,5,
1958-11-20 08:00:00,0,200,5,
1958-11-21 08:00:00,0.25,200,5,
1958-11-24 08:00:00,0,200,5,
1958-11-25 08:00:00,5.84,200,5,
1958-11-26 08:00:00,0.51,200,5,
1958-11-27 08:00:00,4.32,200,5,
1958-11-28 08:00:00,7.37,200,5,
1958-12-05 08:00:00,0,200,5,
1958-12-07 08:00:00,0,200,5,
1958-12-08 08:00:00,1.02,200,5,
1958-12-09 08:00:00,20.07,200,5,
1958-12-10 08:00:00,9.4,200,5,
1958-12-11 08:00:00,2.29,200,5,
1958-12-12 08:00:00,6.35,200,5,
1958-12-13 08:00:00,28.19,200,5,
1958-12-14 08:00:00,1.02,200,5,
1958-12-15 08:00:00,15.75,200,5,
1958-12-16 08:00:00,13.97,200,5,
1958-12-17 08:00:00,11.68,200,5,
1958-12-20 08:00:00,0,200,5,
1958-12-21 08:00:00,21.84,200,5,
1958-12-22 08:00:00,23.62,200,5,
1958-12-23 08:00:00,3.05,200,5,
1958-12-24 08:00:00,13.97,200,5,
1958-12-27 08:00:00,0,200,5,
1958-12-28 08:00:00,1.27,200,5,
1959-01-03 08:00:00,0,200,5,
1959-01-04 08:00:00,14.73,200,5,
1959-01-06 08:00:00,0,200,5,
1959-01-07 08:00:00,10.92,200,5,
1959-01-08 08:00:00,1.02,200,5,
1959-01-12 08:00:00,0,200,5,
1959-01-13 08:00:00,15.75,200,5,
1959-01-14 08:00:00,24.13,200,5,
1959-01-15 08:00:00,6.35,200,5,
1959-01-22 08:00:00,0,200,5,
1959-01-28 08:00:00,0,200,5,
1959-01-29 08:00:00,1.27,200,5,
1959-01-30 08:00:00,8.89,200,5,
1959-01-31 08:00:00,42.67,200,5,
1959-02-04 08:00:00,0,200,5,
1959-02-05 08:00:00,4.83,200,5,
1959-02-06 08:00:00,6.6,200,5,
1959-02-09 08:00:00,0,200,5,
1959-02-10 08:00:00,5.08,200,5,
1959-02-11 08:00:00,11.94,200,5,
1959-02-12 08:00:00,0,200,5,
1959-02-13 08:00:00,5.33,200,5,
1959-02-19 08:00:00,0,200,5,
1959-02-20 08:00:00,5.84,200,5,
1959-02-21 08:00:00,5.33,200,5,
1959-02-22 08:00:00,5.84,200,5,
1959-02-23 08:00:00,0,200,5,
1959-02-24 08:00:00,3.56,200,5,
1959-02-27 08:00:00,0,200,5,
1959-02-28 08:00:00,4.83,200,5,
1959-03-01 08:00:00,2.29,200,5,
1959-03-04 08:00:00,0,200,5,
1959-03-05 08:00:00,0.25,200,5,
1959-03-06 08:00:00,38.1,200,5,
1959-03-07 08:00:00,0.76,200,5,
1959-03-10 08:00:00,0,200,5,
1959-03-11 08:00:00,0.76,200,5,
1959-03-12 08:00:00,0,200,5,
1959-03-13 08:00:00,6.35,200,5,
1959-03-14 08:00:00,3.05,200,5,
1959-03-15 08:00:00,9.65,200,5,
1959-03-16 08:00:00,0.51,200,5,
1959-03-17 08:00:00,19.05,200,5,
1959-03-18 08:00:00,14.99,200,5,
1959-03-19 08:00:00,0.25,200,5,
1959-03-22 08:00:00,0,200,5,
1959-03-23 08:00:00,0.25,200,5,
1959-03-29 08:00:00,0,200,5,
1959-03-30 08:00:00,5.59,200,5,
1959-04-05 08:00:00,0,200,5,
1959-04-06 08:00:00,39.62,200,5,
1959-04-07 08:00:00,8.64,200,5,
1959-04-08 08:00:00,0,200,5,
1959-04-09 08:00:00,80.52,200,5,
1959-04-10 08:00:00,9.14,200,5,
1959-04-12 08:00:00,0,200,5,
1959-04-13 08:00:00,9.91,200,5,
1959-04-14 08:00:00,1.52,200,5,
1959-04-17 08:00:00,0,200,5,
1959-04-18 08:00:00,21.84,200,5,
1959-04-20 08:00:00,0,200,5,
1959-04-21 08:00:00,1.02,200,5,
1959-04-25 08:00:00,0,200,5,
1959-04-26 08:00:00,2.79,200,5,
1959-04-27 08:00:00,14.73,200,5,
1959-04-28 08:00:00,4.83,200,5,
1959-04-29 08:00:00,10.67,200,5,
1959-04-30 08:00:00,11.94,200,5,
1959-05-01 08:00:00,0.25,200,5,
1959-05-03 08:00:00,0,200,5,
1959-05-04 08:00:00,7.62,200,5,
1959-05-05 08:00:00,6.6,200,5,
1959-05-06 08:00:00,21.08,200,5,
1959-05-07 08:00:00,8.89,200,5,
1959-05-08 08:00:00,1.02,200,5,
1959-05-09 08:00:00,0,200,5,
1959-05-10 08:00:00,1.02,200,5,
1959-05-11 08:00:00,13.72,200,5,
1959-05-12 08:00:00,3.3,200,5,
1959-05-13 08:00:00,0,200,5,
1959-05-14 08:00:00,2.29,200,5,
1959-05-15 08:00:00,0.76,200,5,
1959-05-16 08:00:00,3.3,200,5,
1959-05-17 08:00:00,9.91,200,5,
1959-05-22 08:00:00,0,200,5,
1959-05-23 08:00:00,20.07,200,5,
1959-05-24 08:00:00,3.05,200,5,
1959-05-25 08:00:00,2.03,200,5,
1959-05-26 08:00:00,0.51,200,5,
1959-05-27 08:00:00,9.14,200,5,
1959-05-28 08:00:00,8.64,200,5,
1959-05-29 08:00:00,4.32,200,5,
1959-05-30 08:00:00,9.65,200,5,
1959-05-31 08:00:00,7.87,200,5,
1959-06-01 08:00:00,3.05,200,5,
1959-06-02 08:00:00,0,200,5,
1959-06-03 08:00:00,0.25,200,5,
1959-06-04 08:00:00,1.78,200,5,
1959-06-05 08:00:00,1.27,200,5,
1959-06-07 08:00:00,0,200,5,
1959-06-08 08:00:00,2.54,200,5,
1959-06-10 08:00:00,0,200,5,
1959-06-11 08:00:00,3.3,200,5,
1959-06-12 08:00:00,7.87,200,5,
1959-06-13 08:00:00,0,200,5,
1959-06-14 08:00:00,5.59,200,5,
1959-06-15 08:00:00,2.54,200,5,
1959-06-16 08:00:00,0.51,200,5,
1959-06-17 08:00:00,0.25,200,5,
1959-06-18 08:00:00,0.25,200,5,
1959-06-19 08:00:00,0.51,200,5,
1959-06-21 08:00:00,0,200,5,
1959-06-22 08:00:00,1.27,200,5,
1959-06-23 08:00:00,13.72,200,5,
1959-06-30 08:00:00,0,200,5,
1959-07-01 08:00:00,13.97,200,5,
1959-07-02 08:00:00,18.03,200,5,
1959-07-03 08:00:00,5.84,200,5,
1959-07-05 08:00:00,0,200,5,
1959-07-06 08:00:00,11.68,200,5,
1959-07-08 08:00:00,0,200,5,
1959-07-09 08:00:00,2.54,200,5,
1959-07-10 08:00:00,17.53,200,5,
1959-07-11 08:00:00,4.32,200,5,
1959-07-12 08:00:00,3.05,200,5,
1959-07-13 08:00:00,1.27,200,5,
1959-07-14 08:00:00,0.25,200,5,
1959-07-15 08:00:00,1.78,200,5,
1959-07-17 08:00:00,0,200,5,
1959-07-18 08:00:00,2.29,200,5,
1959-07-22 08:00:00,0,200,5,
1959-07-23 08:00:00,2.03,200,5,
1959-07-24 08:00:00,11.68,200,5,
1959-07-25 08:00:00,3.05,200,5,
1959-07-26 08:00:00,9.91,200,5,
1959-07-27 08:00:00,36.07,200,5,
1959-07-28 08:00:00,2.54,200,5,
1959-07-29 08:00:00,20.07,200,5,
1959-07-30 08:00:00,5.59,200,5,
1959-08-02 08:00:00,0,200,5,
1959-08-03 08:00:00,18.29,200,5,
1959-08-04 08:00:00,7.11,200,5,
1959-08-05 08:00:00,2.54,200,5,
1959-08-06 08:00:00,0,200,5,
1959-08-07 08:00:00,0.76,200,5,
1959-08-08 08:00:00,11.68,200,5,
1959-08-09 08:00:00,0,200,5,
1959-08-10 08:00:00,10.67,200,5,
1959-08-11 08:00:00,5.59,200,5,
1959-08-12 08:00:00,0.51,200,5,
1959-08-13 08:00:00,4.32,200,5,
1959-08-14 08:00:00,4.83,200,5,
1959-08-15 08:00:00,9.14,200,5,
1959-08-16 08:00:00,0,200,5,
1959-08-17 08:00:00,1.02,200,5,
1959-08-18 08:00:00,0,200,5,
1959-08-19 08:00:00,4.06,200,5,
1959-08-20 08:00:00,0,200,5,
1959-08-21 08:00:00,51.82,200,5,
1959-08-22 08:00:00,1.52,200,5,
1959-08-23 08:00:00,1.78,200,5,
1959-08-24 08:00:00,0,200,5,
1959-08-25 08:00:00,0.25,200,5,
1959-08-27 08:00:00,0,200,5,
1959-08-28 08:00:00,5.08,200,5,
1959-09-03 08:00:00,0,200,5,
1959-09-04 08:00:00,1.27,200,5,
1959-09-10 08:00:00,0,200,5,
1959-09-11 08:00:00,0.25,200,5,
1959-09-13 08:00:00,0,200,5,
1959-09-14 08:00:00,0.51,200,5,
1959-09-15 08:00:00,2.79,200,5,
1959-09-19 08:00:00,0,200,5,
1959-09-20 08:00:00,6.6,200,5,
1959-09-22 08:00:00,0,200,5,
1959-09-23 08:00:00,1.78,200,5,
1959-09-24 08:00:00,5.84,200,5,
1959-09-25 08:00:00,8.38,200,5,
1959-09-26 08:00:00,2.03,200,5,
1959-09-27 08:00:00,3.05,200,5,
1959-09-28 08:00:00,17.53,200,5,
1959-09-29 08:00:00,2.79,200,5,
1959-09-30 08:00:00,0,200,5,
1959-10-01 08:00:00,6.35,200,5,
1959-10-02 08:00:00,2.54,200,5,
1959-10-03 08:00:00,7.87,200,5,
1959-10-04 08:00:00,2.29,200,5,
1959-10-05 08:00:00,1.27,200,5,
1959-10-06 08:00:00,21.84,200,5,
1959-10-07 08:00:00,15.75,200,5,
1959-10-08 08:00:00,1.78,200,5,
1959-10-13 08:00:00,0,200,5,
1959-10-14 08:00:00,18.29,200,5,
1959-10-15 08:00:00,12.45,200,5,
1959-10-16 08:00:00,0.76,200,5,
1959-10-17 08:00:00,5.84,200,5,
1959-10-18 08:00:00,0,200,5,
1959-10-19 08:00:00,8.13,200,5,
1959-10-20 08:00:00,0.76,200,5,
1959-10-24 08:00:00,0,200,5,
1959-10-25 08:00:00,3.3,200,5,
1959-10-29 08:00:00,0,200,5,
1959-10-30 08:00:00,0.76,200,5,
1959-11-01 08:00:00,0,200,5,
1959-11-02 08:00:00,1.27,200,5,
1959-11-07 08:00:00,0,200,5,
1959-11-08 08:00:00,2.29,200,5,
1959-11-09 08:00:00,0.25,200,5,
1959-11-10 08:00:00,0,200,5,
1959-11-11 08:00:00,11.68,200,5,
1959-11-17 08:00:00,0,200,5,
1959-11-18 08:00:00,11.68,200,5,
1959-11-19 08:00:00,9.4,200,5,
1959-11-24 08:00:00,0,200,5,
1959-11-25 08:00:00,3.56,200,5,
1959-11-29 08:00:00,0,200,5,
1959-11-30 08:00:00,5.84,200,5,
1959-12-07 08:00:00,0,200,5,
1959-12-08 08:00:00,0,200,5,
1959-12-09 08:00:00,0.25,200,5,
1959-12-10 08:00:00,2.54,200,5,
1959-12-13 08:00:00,0,200,5,
1959-12-14 08:00:00,29.97,200,5,
1959-12-15 08:00:00,33.78,200,5,
1959-12-21 08:00:00,0,200,5,
1959-12-22 08:00:00,3.56,200,5,
1959-12-23 08:00:00,7.62,200,5,
1959-12-24 08:00:00,3.81,200,5,
1959-12-25 08:00:00,2.79,200,5,
1959-12-26 08:00:00,15.75,200,5,
1959-12-27 08:00:00,11.18,200,5,
1959-12-30 08:00:00,0,200,5,
1959-12-31 08:00:00,9.4,200,5,
1960-01-03 08:00:00,0,200,5,
1960-01-04 08:00:00,7.37,200,5,
1960-01-05 08:00:00,0.25,200,5,
1960-01-06 08:00:00,0,200,5,
1960-01-07 08:00:00,1.27,200,5,
1960-01-08 08:00:00,1.52,200,5,
1960-01-11 08:00:00,0,200,5,
1960-01-12 08:00:00,0.76,200,5,
1960-01-13 08:00:00,0,200,5,
1960-01-14 08:00:00,0.25,200,5,
1960-01-17 08:00:00,0,200,5,
1960-01-18 08:00:00,0.25,200,5,
1960-01-24 08:00:00,0,200,5,
1960-01-25 08:00:00,9.65,200,5,
1960-02-01 08:00:00,0,200,5,
1960-02-02 08:00:00,0,200,5,
1960-02-03 08:00:00,3.3,200,5,
1960-02-04 08:00:00,22.86,200,5,
1960-02-05 08:00:00,46.48,200,5,
1960-02-10 08:00:00,0,200,5,
1960-02-11 08:00:00,0.76,200,5,
1960-02-12 08:00:00,9.91,200,5,
1960-02-14 08:00:00,0,200,5,
1960-02-15 08:00:00,2.54,200,5,
1960-02-16 08:00:00,0.51,200,5,
1960-02-20 08:00:00,0,200,5,
1960-02-21 08:00:00,2.29,200,5,
1960-02-22 08:00:00,4.57,200,5,
1960-02-23 08:00:00,4.57,200,5,
1960-02-24 08:00:00,27.94,200,5,
1960-02-25 08:00:00,24.64,200,5,
1960-02-26 08:00:00,9.65,200,5,
1960-02-27 08:00:00,14.73,200,5,
1960-02-28 08:00:00,13.21,200,5,
1960-03-06 08:00:00,0,200,5,
1960-03-07 08:00:00,0,200,5,
1960-03-08 08:00:00,5.59,200,5,
1960-03-09 08:00:00,3.05,200,5,
1960-03-10 08:00:00,1.52,200,5,
1960-03-11 08:00:00,0,200,5,
1960-03-12 08:00:00,5.33,200,5,
1960-03-13 08:00:00,2.03,200,5,
1960-03-14 08:00:00,0,200,5,
1960-03-15 08:00:00,4.57,200,5,
1960-03-16 08:00:00,0.76,200,5,
1960-03-21 08:00:00,0,200,5,
1960-03-22 08:00:00,41.91,200,5,
1960-03-23 08:00:00,0,200,5,
1960-03-24 08:00:00,8.13,200,5,
1960-03-25 08:00:00,6.1,200,5,
1960-03-26 08:00:00,1.02,200,5,
1960-03-28 08:00:00,0,200,5,
1960-03-29 08:00:00,0.51,200,5,
1960-03-30 08:00:00,1.02,200,5,
1960-03-31 08:00:00,3.3,200,5,
1960-04-01 08:00:00,0.25,200,5,
1960-04-03 08:00:00,0,200,5,
1960-04-04 08:00:00,1.02,200,5,
1960-04-06 08:00:00,0,200,5,
1960-04-07 08:00:00,1.02,200,5,
1960-04-10 08:00:00,0,200,5,
1960-04-11 08:00:00,3.05,200,5,
1960-04-12 08:00:00,19.56,200,5,
1960-04-13 08:00:00,47.24,200,5,
1960-04-14 08:00:00,0.25,200,5,
1960-04-16 08:00:00,0,200,5,
1960-04-17 08:00:00,4.57,200,5,
1960-04-18 08:00:00,44.7,200,5,
1960-04-19 08:00:00,6.1,200,5,
1960-04-26 08:00:00,0,200,5,
1960-05-03 08:00:00,0,200,5,
1960-05-05 08:00:00,0,200,5,
1960-05-06 08:00:00,3.05,200,5,
1960-05-07 08:00:00,1.52,200,5,
1960-05-08 08:00:00,9.91,200,5,
1960-05-09 08:00:00,3.05,200,5,
1960-05-10 08:00:00,8.38,200,5,
1960-05-11 08:00:00,6.35,200,5,
1960-05-12 08:00:00,3.05,200,5,
1960-05-13 08:00:00,0.51,200,5,
1960-05-14 08:00:00,0,200,5,
1960-05-15 08:00:00,2.03,200,5,
1960-05-16 08:00:00,38.1,200,5,
1960-05-17 08:00:00,0.25,200,5,
1960-05-18 08:00:00,11.68,200,5,
1960-05-21 08:00:00,0,200,5,
1960-05-22 08:00:00,16,200,5,
1960-05-23 08:00:00,0,200,5,
1960-05-24 08:00:00,0.76,200,5,
1960-05-25 08:00:00,0,200,5,
1960-05-26 08:00:00,1.52,200,5,
1960-05-28 08:00:00,0,200,5,
1960-05-29 08:00:00,1.02,200,5,
1960-05-30 08:00:00,4.57,200,5,
1960-05-31 08:00:00,16,200,5,
1960-06-01 08:00:00,6.35,200,5,
1960-06-02 08:00:00,2.29,200,5,
1960-06-04 08:00:00,0,200,5,
1960-06-05 08:00:00,6.6,200,5,
1960-06-06 08:00:00,2.03,200,5,
1960-06-07 08:00:00,5.33,200,5,
1960-06-08 08:00:00,18.8,200,5,
1960-06-09 08:00:00,29.46,200,5,
1960-06-10 08:00:00,6.6,200,5,
1960-06-11 08:00:00,3.3,200,5,
1960-06-12 08:00:00,0,200,5,
1960-06-13 08:00:00,16.76,200,5,
1960-06-14 08:00:00,0.25,200,5,
1960-06-15 08:00:00,0.25,200,5,
1960-06-16 08:00:00,0.51,200,5,
1960-06-17 08:00:00,0,200,5,
1960-06-18 08:00:00,3.05,200,5,
1960-06-19 08:00:00,11.18,200,5,
1960-06-20 08:00:00,6.35,200,5,
1960-06-21 08:00:00,10.16,200,5,
1960-06-22 08:00:00,3.56,200,5,
1960-06-23 08:00:00,0.25,200,5,
1960-06-24 08:00:00,0,200,5,
1960-06-25 08:00:00,15.75,200,5,
1960-06-26 08:00:00,4.83,200,5,
1960-06-27 08:00:00,4.83,200,5,
1960-06-28 08:00:00,0.51,200,5,
1960-06-29 08:00:00,2.79,200,5,
1960-06-30 08:00:00,9.14,200,5,
1960-07-01 08:00:00,0,200,5,
1960-07-02 08:00:00,2.79,200,5,
1960-07-03 08:00:00,1.52,200,5,
1960-07-04 08:00:00,0.51,200,5,
1960-07-05 08:00:00,6.6,200,5,
1960-07-06 08:00:00,31.75,200,5,
1960-07-07 08:00:00,10.67,200,5,
1960-07-08 08:00:00,2.03,200,5,
1960-07-15 08:00:00,0,200,5,
1960-07-16 08:00:00,0,200,5,
1960-07-17 08:00:00,16.76,200,5,
1960-07-18 08:00:00,2.03,200,5,
1960-07-19 08:00:00,0,200,5,
1960-07-20 08:00:00,4.32,200,5,
1960-07-21 08:00:00,8.38,200,5,
1960-07-22 08:00:00,8.89,200,5,
1960-07-23 08:00:00,0,200,5,
1960-07-24 08:00:00,3.05,200,5,
1960-07-25 08:00:00,16.51,200,5,
1960-07-26 08:00:00,3.56,200,5,
1960-07-27 08:00:00,13.97,200,5,
1960-07-28 08:00:00,1.27,200,5,
1960-07-30 08:00:00,0,200,5,
1960-07-31 08:00:00,2.79,200,5,
1960-08-01 08:00:00,0,200,5,
1960-08-02 08:00:00,6.35,200,5,
1960-08-03 08:00:00,0,200,5,
1960-08-04 08:00:00,4.57,200,5,
1960-08-05 08:00:00,5.59,200,5,
1960-08-06 08:00:00,6.86,200,5,
1960-08-07 08:00:00,9.14,200,5,
1960-08-08 08:00:00,2.54,200,5,
1960-08-09 08:00:00,2.79,200,5,
1960-08-10 08:00:00,6.35,200,5,
1960-08-11 08:00:00,5.59,200,5,
1960-08-12 08:00:00,1.02,200,5,
1960-08-13 08:00:00,1.78,200,5,
1960-08-14 08:00:00,11.68,200,5,
1960-08-15 08:00:00,3.05,200,5,
1960-08-16 08:00:00,5.84,200,5,
1960-08-17 08:00:00,7.87,200,5,
1960-08-18 08:00:00,3.81,200,5,
1960-08-25 08:00:00,0,200,5,
1960-09-01 08:00:00,0,200,5,
1960-09-03 08:00:00,0,200,5,
1960-09-04 08:00:00,1.52,200,5,
1960-09-05 08:00:00,1.02,200,5,
1960-09-06 08:00:00,47.24,200,5,
1960-09-07 08:00:00,1.27,200,5,
1960-09-09 08:00:00,0,200,5,
1960-09-10 08:00:00,3.56,200,5,
1960-09-11 08:00:00,17.27,200,5,
1960-09-12 08:00:00,1.27,200,5,
1960-09-13 08:00:00,19.3,200,5,
1960-09-14 08:00:00,24.89,200,5,
1960-09-15 08:00:00,23.11,200,5,
1960-09-18 08:00:00,0,200,5,
1960-09-19 08:00:00,20.32,200,5,
1960-09-20 08:00:00,0.25,200,5,
1960-09-21 08:00:00,18.03,200,5,
1960-09-22 08:00:00,1.02,200,5,
1960-09-24 08:00:00,0,200,5,
1960-09-25 08:00:00,2.03,200,5,
1960-09-26 08:00:00,0.25,200,5,
1960-09-29 08:00:00,0,200,5,
1960-09-30 08:00:00,38.61,200,5,
1960-10-01 08:00:00,47.5,200,5,
1960-10-04 08:00:00,0,200,5,
1960-10-05 08:00:00,13.21,200,5,
1960-10-06 08:00:00,21.08,200,5,
1960-10-07 08:00:00,0,200,5,
1960-10-08 08:00:00,6.1,200,5,
1960-10-09 08:00:00,0,200,5,
1960-10-10 08:00:00,0.25,200,5,
1960-10-11 08:00:00,0,200,5,
1960-10-12 08:00:00,6.86,200,5,
1960-10-13 08:00:00,0,200,5,
1960-10-14 08:00:00,6.6,200,5,
1960-10-15 08:00:00,5.59,200,5,
1960-10-16 08:00:00,6.1,200,5,
1960-10-17 08:00:00,5.59,200,5,
1960-10-24 08:00:00,0,200,5,
1960-10-29 08:00:00,0,200,5,
1960-10-30 08:00:00,7.37,200,5,
1960-10-31 08:00:00,5.59,200,5,
1960-11-02 08:00:00,0,200,5,
1960-11-03 08:00:00,4.32,200,5,
1960-11-05 08:00:00,0,200,5,
1960-11-06 08:00:00,23.37,200,5,
1960-11-07 08:00:00,19.56,200,5,
1960-11-08 08:00:00,1.27,200,5,
